Platform	Gene_Symbol_HGNC
BMF	ACD
BMF	ANKRD26
BMF	BRCA1
BMF	BRCA2
BMF	BRIP1
BMF	C15orf41
BMF	CDAN1
BMF	CEBPA
BMF	CSF3R
BMF	CTC1
BMF	CXCR4
BMF	DDX41
BMF	DKC1
BMF	DNAJC21
BMF	DNAJC3
BMF	ELANE
BMF	ERCC4
BMF	ERCC6L2
BMF	ETV6
BMF	FANCA
BMF	FANCB
BMF	FANCC
BMF	FANCD2
BMF	FANCE
BMF	FANCF
BMF	FANCG
BMF	FANCI
BMF	FANCL
BMF	FANCM
BMF	G6PC
BMF	G6PC3
BMF	GATA1
BMF	GATA2
BMF	GFI1
BMF	GRHL2
BMF	HAX1
BMF	JAGN1
BMF	KIF23
BMF	KLF1
BMF	LIG4
BMF	MPL
BMF	MYSM1
BMF	NHP2
BMF	NOP10
BMF	PALB2
BMF	PARN
BMF	RAD51
BMF	RAD51C
BMF	RBM8A
BMF	RPL11
BMF	RPL15
BMF	RPL26
BMF	RPL35A
BMF	RPL5
BMF	RPS10
BMF	RPS17
BMF	RPS19
BMF	RPS24
BMF	RPS26
BMF	RPS28
BMF	RPS29
BMF	RPS7
BMF	RTEL1
BMF	RUNX1
BMF	SAMD9L
BMF	SBDS
BMF	SEC23B
BMF	SLX4
BMF	SRP72
BMF	TAZ
BMF	TERC
BMF	TERT
BMF	TINF2
BMF	TP53
BMF	UBE2T
BMF	USB1
BMF	VPS45
BMF	WAS
BMF	WRAP53
BMF	XRCC2
BPD	ABCG5
BPD	ABCG8
BPD	ACTN1
BPD	ACVRL1
BPD	ADAMTS13
BPD	ANKRD26
BPD	ANO6
BPD	AP3B1
BPD	AP3D1
BPD	ARPC1B
BPD	BLOC1S3
BPD	BLOC1S6
BPD	CDC42
BPD	CHST14
BPD	COL1A1
BPD	COL3A1
BPD	COL5A1
BPD	COL5A2
BPD	CYCS
BPD	DIAPH1
BPD	DTNBP1
BPD	ENG
BPD	ETV6
BPD	F10
BPD	F11
BPD	F12
BPD	F13A1
BPD	F13B
BPD	F2
BPD	F5
BPD	F7
BPD	F8
BPD	F9
BPD	FERMT3
BPD	FGA
BPD	FGB
BPD	FGG
BPD	FLI1
BPD	FLNA
BPD	FYB
BPD	GATA1
BPD	GBA
BPD	GFI1B
BPD	GGCX
BPD	GNE
BPD	GP1BA
BPD	GP1BA
BPD	GP1BB
BPD	GP6
BPD	GP9
BPD	HOXA11
BPD	HPS1
BPD	HPS3
BPD	HPS4
BPD	HPS5
BPD	HPS6
BPD	HRG
BPD	ITGA2B
BPD	ITGB3
BPD	KDSR
BPD	KLKB1
BPD	KNG1
BPD	LMAN1
BPD	LYST
BPD	MCFD2
BPD	MECOM
BPD	MPIG6B
BPD	MPL
BPD	MYH9
BPD	NBEA
BPD	NBEAL2
BPD	P2RY12
BPD	PIGA
BPD	PLA2G4A
BPD	PLAT
BPD	PLAU
BPD	PLG
BPD	PROC
BPD	PROS1
BPD	PTPN11
BPD	RASGRP2
BPD	RBM8A
BPD	RNU4ATAC
BPD	RUNX1
BPD	SERPINC1
BPD	SERPIND1
BPD	SERPINE1
BPD	SERPINF2
BPD	SLC45A2
BPD	SLFN14
BPD	SMAD4
BPD	SRC
BPD	STIM1
BPD	STXBP2
BPD	TBXA2R
BPD	TBXAS1
BPD	THBD
BPD	THPO
BPD	TUBB1
BPD	VIPAS39
BPD	VKORC1
BPD	VPS33B
BPD	VWF
BPD	WAS
SMD	ABCB7
SMD	ABL1
SMD	AK1
SMD	ALAS2
SMD	ALDOA
SMD	ANK1
SMD	AP3B1
SMD	ARHGAP26
SMD	ASXL1
SMD	ATRX
SMD	BCOR
SMD	BCORL1
SMD	BRAF
SMD	BRCA1
SMD	BRCA2
SMD	BRIP1
SMD	C15orf41
SMD	CALR
SMD	CBL
SMD	CBLB
SMD	CBLC
SMD	CD40LG
SMD	CDAN1
SMD	CDKN2A
SMD	CDKN2A
SMD	CEBPA
SMD	CLPB
SMD	CSF3R
SMD	CTC1
SMD	CUX1
SMD	CXCR4
SMD	DKC1
SMD	DNAJC21
SMD	DNMT3A
SMD	ELANE
SMD	ENO1
SMD	EPB41
SMD	EPB42
SMD	ERCC4
SMD	EZH2
SMD	FANCA
SMD	FANCB
SMD	FANCC
SMD	FANCD2
SMD	FANCE
SMD	FANCF
SMD	FANCG
SMD	FANCI
SMD	FANCL
SMD	FANCM
SMD	FBXW7
SMD	FLT3
SMD	G6PC3
SMD	G6PD
SMD	GATA1
SMD	GATA2
SMD	GCLC
SMD	GFI1
SMD	GNAS
SMD	GPI
SMD	GPX1
SMD	GSR
SMD	GSS
SMD	HAX1
SMD	HBA1
SMD	HBA2
SMD	HBB
SMD	HBG1
SMD	HBG2
SMD	HK1
SMD	HRAS
SMD	IDH1
SMD	IDH2
SMD	IKZF1
SMD	JAG1
SMD	JAK2
SMD	JAK3
SMD	KDM6A
SMD	KIF23
SMD	KIT
SMD	KLF1
SMD	KMT2A
SMD	KRAS
SMD	LPIN2
SMD	LYST
SMD	MECOM
SMD	MPL
SMD	MT-ATP6
SMD	MT-ATP8
SMD	MT-CO1
SMD	MT-CO2
SMD	MT-CO3
SMD	MT-CYB
SMD	MT-ND1
SMD	MT-ND2
SMD	MT-ND3
SMD	MT-ND4
SMD	MT-ND4L
SMD	MT-ND5
SMD	MT-ND6
SMD	MT-RNR1
SMD	MT-RNR2
SMD	MT-TA
SMD	MT-TC
SMD	MT-TD
SMD	MT-TE
SMD	MT-TF
SMD	MT-TG
SMD	MT-TH
SMD	MT-TI
SMD	MT-TK
SMD	MT-TL1
SMD	MT-TL2
SMD	MT-TM
SMD	MT-TN
SMD	MT-TP
SMD	MT-TQ
SMD	MT-TR
SMD	MT-TS1
SMD	MT-TS2
SMD	MT-TT
SMD	MT-TV
SMD	MT-TW
SMD	MT-TY
SMD	MYD88
SMD	NF1
SMD	NHP2
SMD	NOP10
SMD	NOTCH1
SMD	NPM1
SMD	NRAS
SMD	NT5C3A
SMD	PALB2
SMD	PDGFRA
SMD	PFKM
SMD	PHF6
SMD	PIEZO1
SMD	PKLR
SMD	PRKG1
SMD	PTEN
SMD	PTPN11
SMD	RAB27A
SMD	RAD21
SMD	RAD51C
SMD	RBBP6
SMD	RHAG
SMD	RMRP
SMD	RPL11
SMD	RPL15
SMD	RPL19
SMD	RPL26
SMD	RPL27
SMD	RPL35A
SMD	RPL5
SMD	RPL9
SMD	RPS10
SMD	RPS14
SMD	RPS17
SMD	RPS19
SMD	RPS24
SMD	RPS26
SMD	RPS27
SMD	RPS29
SMD	RPS7
SMD	RTEL1
SMD	RUNX1
SMD	SBDS
SMD	SEC23B
SMD	SETBP1
SMD	SF3B1
SMD	SH3BP1
SMD	SLC11A2
SMD	SLC25A38
SMD	SLC2A1
SMD	SLC37A4
SMD	SLC4A1
SMD	SLX4
SMD	SMC1A
SMD	SMC3
SMD	SPTA1
SMD	SPTB
SMD	SRP72
SMD	SRSF2
SMD	STAG2
SMD	STK4
SMD	TAZ
SMD	TERC
SMD	TERT
SMD	TET2
SMD	TINF2
SMD	TMPRSS6
SMD	TP53
SMD	TPI1
SMD	U2AF1
SMD	UBE2T
SMD	USB1
SMD	VPS13A
SMD	VPS13A-AS1
SMD	VPS13B
SMD	VPS13C
SMD	VPS13D
SMD	VPS45
SMD	WAS
SMD	WRAP53
SMD	WT1
SMD	ZRSR2
