Celltype	Trait	zscore	pval
B	baso	-0.69854118296669	0.120571158689898
CD4	baso	-1.81772919647937	0.0152714575937581
CD8	baso	-1.97834391371922	0.0105256921721478
CLP	baso	-1.50269173611788	0.0298667326356636
CMP	baso	2.22552139938333	1.88528468771846
Ery	baso	-0.374422810667462	0.189797660024592
GMP-A	baso	2.86704422880471	2.68368874650659
GMP-B	baso	2.43090648941071	2.12317327217352
GMP-C	baso	1.32842316372709	1.03612166150718
HSC	baso	0.761910036044931	0.651584435470049
LMPP	baso	1.22875311008882	0.960260010814385
mDC	baso	0.659855573700151	0.594016655704862
Mega	baso	-1.41183327294078	0.0357401479158204
MEP	baso	-1.05971630742525	0.067849458902827
Mono	baso	2.89208844696279	2.71818265929098
MPP	baso	1.23911279062594	0.967978440165944
NK	baso	-1.15388022537016	0.0576320727970791
pDC	baso	-0.501879486821397	0.159816183696383
B	eo	0.618488770239504	0.571660100493112
CD4	eo	-0.273568823169628	0.216245019062383
CD8	eo	-0.624090712335947	0.134472014114961
CLP	eo	-1.94449883626501	0.0114043315446136
CMP	eo	1.20303926758993	0.941268244683845
Ery	eo	0.400179804368994	0.462795590492932
GMP-A	eo	5.03083679279338	6.61230438320584
GMP-B	eo	4.3572571968131	5.18143606808978
GMP-C	eo	3.71725874983447	3.99697883200512
HSC	eo	-1.29135651316544	0.0449331338531139
LMPP	eo	-0.789406068809567	0.105095686831089
mDC	eo	2.44068397820463	2.13491152514423
Mega	eo	-2.01407483917387	0.00966151749586512
MEP	eo	-0.32482280096077	0.202495354378076
Mono	eo	4.55904013472495	5.59016869469495
MPP	eo	-1.48528558764556	0.0309262964531309
NK	eo	-1.05958870185054	0.0678642021843877
pDC	eo	-1.79144616939915	0.0161982549343074
B	hct	-0.115897095114884	0.262701619440244
CD4	hct	-1.70682572262082	0.0195090485166646
CD8	hct	-2.38145974667307	0.0037607612936472
CLP	hct	-1.09522586236351	0.0638427107175476
CMP	hct	3.26951094409258	3.26867894546686
Ery	hct	3.79144867934368	4.12560197675196
GMP-A	hct	1.38415405335162	1.08010826673196
GMP-B	hct	1.52598233799275	1.19717750256873
GMP-C	hct	0.466756538432879	0.494392845876408
HSC	hct	-0.870927796699447	0.0925331676401381
LMPP	hct	-1.18950595181397	0.0540984762308808
mDC	hct	-0.871945020757754	0.092384002391394
Mega	hct	-1.7492228070499	0.0177858879514049
MEP	hct	5.10750477494507	6.78722549474214
Mono	hct	1.74211780293499	1.38993722682871
MPP	hct	-0.367017839292195	0.191655892441177
NK	hct	-2.30788195623957	0.00458545297080817
pDC	hct	-0.90316062802999	0.0878950780367951
B	hgb	-0.271973003451288	0.216683535425144
CD4	hgb	-1.07170530094577	0.066475363195947
CD8	hgb	-1.54568445647767	0.0273762187881739
CLP	hgb	-0.793744791468319	0.104396264622731
CMP	hgb	1.84360495008412	1.48651115651559
