Celltype	Trait	zscore	logp
B	baso	-0.530158500576819	0.153663519310806
CD4	baso	-0.411824199425147	0.180610161968315
CD8	baso	-0.629039406377823	0.13351277134821
CLP	baso	-0.68473866567396	0.123063409561877
CMP	baso	5.46248842795934	7.62938871183936
Ery	baso	-0.664168550476702	0.126848741995086
GMP-A	baso	-0.797869965762586	0.103734535056477
GMP-B	baso	-0.184313001932302	0.241757434571984
GMP-C	baso	-0.384527121252537	0.187283055112803
HSC	baso	-0.802203520728146	0.103042799364125
LMPP	baso	-0.631748301678891	0.132989840499587
mDC	baso	-0.42826977259133	0.176674057288921
Mega	baso	-0.538201339635563	0.15194582950289
MEP	baso	-0.252863194480022	0.221984101172662
Mono	baso	-1.01228642606344	0.0735034995819481
MPP	baso	-0.82946906718048	0.0987703382582575
NK	baso	-1.00128909026155	0.0748651351933556
pDC	baso	-0.187529033894171	0.240802906756071
B	eo	-0.727412740624464	0.115480234916549
CD4	eo	-0.666455732803997	0.126423620399833
CD8	eo	-0.622758743647982	0.134731070207966
CLP	eo	-0.264112156599995	0.218852882758692
CMP	eo	1.28983505368197	1.00632588913482
Ery	eo	-0.463099691194406	0.168543901515315
GMP-A	eo	2.72477922955756	2.49251859287126
GMP-B	eo	1.4342449002326	1.12061051740161
GMP-C	eo	1.39787508725993	1.09111148652027
HSC	eo	0.119757745690774	0.344537380162586
LMPP	eo	0.817963644843398	0.684682691991686
mDC	eo	-0.56638207642271	0.146038516595077
Mega	eo	-1.19138350217918	0.0539171077990594
MEP	eo	0.0830440499499456	0.330768445868924
Mono	eo	0.0359889164855702	0.313680543186934
MPP	eo	0.5632608245021	0.542680409225323
NK	eo	-0.470388973238063	0.16687748630185
pDC	eo	-0.401546385336959	0.183102083994372
B	hct	-0.668740918671734	0.125999930807039
CD4	hct	-0.828931769751785	0.0988532118687178
CD8	hct	-0.890859292963373	0.0896436868971579
CLP	hct	-0.487466180927532	0.163020506854905
CMP	hct	1.23366551049815	0.963915170032167
Ery	hct	-0.311492654393121	0.20600931569284
GMP-A	hct	2.36724565799983	2.04766695356127
GMP-B	hct	1.51072013451895	1.18422384205327
GMP-C	hct	1.50988714543964	1.18351932960275
HSC	hct	0.34162846418915	0.436144993019803
LMPP	hct	0.335496812319857	0.433415008896096
mDC	hct	-0.58004555464607	0.143236046729405
Mega	hct	-0.691392937006528	0.121857125518506
MEP	hct	0.259681111190314	0.400602909002866
Mono	hct	-0.497601350957571	0.160762437129661
MPP	hct	0.707295070505261	0.620347250530431
NK	hct	-0.58392699200903	0.142447225041563
pDC	hct	-0.716892150384926	0.11731630088393
B	hgb	2.11721929566619	1.76648050548163
CD4	hgb	0.946306027606505	0.76448099672279
CD8	hgb	0.582149819116079	0.552480901644309
CLP	hgb	-0.0251719078580667	0.292394845076859
CMP	hgb	-0.680946643296675	0.123754801095112
Ery	hgb	-0.577474164038522	0.143760400339189
GMP-A	hgb	-0.708545427097854	0.118788471298116
GMP-B	hgb	-0.686624561382217	0.122720633696324
GMP-C	hgb	-0.550339889215479	0.149380187611335
HSC	hgb	-0.63113445480247	0.133108205385752
LMPP	hgb	-0.156380222559038	0.250160658157622
mDC	hgb	0.21387777496997	0.381615914362772
Mega	hgb	0.109857652771073	0.340786524741588
MEP	hgb	-0.488567213810249	0.162774086777568
Mono	hgb	0.271791226499524	0.405727614637432
MPP	hgb	-0.793469927417796	0.104440469339092
NK	hgb	0.717886679182079	0.626327578642305
pDC	hgb	-0.562031791409826	0.146939208531368
B	hlr	0.262219967540393	0.401673648652293
CD4	hlr	0.682700904478799	0.606603940153333
CD8	hlr	0.434105303350727	0.478723294794016
CLP	hlr	-0.781060124435366	0.106451037041182
CMP	hlr	-1.337775079177	0.0411900786204758
Ery	hlr	1.28910934182572	1.0057706912867
GMP-A	hlr	0.896483089597984	0.732834365934516
GMP-B	hlr	0.771811854264521	0.657354435548816
GMP-C	hlr	0.849921949533752	0.704027951086635
HSC	hlr	-0.89268811227622	0.0893820557527421
LMPP	hlr	-0.839178543932707	0.09728179942466
mDC	hlr	-0.047128806421154	0.285004456184464
Mega	hlr	-0.221898101600709	0.230767909292328
MEP	hlr	-0.959201868527601	0.0802571244594689
Mono	hlr	0.857949354034711	0.708941627918654
MPP	hlr	-1.32306228596393	0.0423483437406777
NK	hlr	0.912501593499169	0.742916010311924
pDC	hlr	-0.161273718164477	0.248673858522266
B	irf	0.184299651911484	0.369684839026426
CD4	irf	0.425375068346685	0.474590229273842
CD8	irf	0.290209284423486	0.413606182985762
CLP	irf	-0.606902676445122	0.137843417372416
CMP	irf	-1.27849122586109	0.046017246536637
Ery	irf	1.0912419067653	0.861434510841251
GMP-A	irf	0.831409131170841	0.692779449447516
GMP-B	irf	0.748397080309984	0.643763089569654
GMP-C	irf	0.876509603703532	0.720386595854239
HSC	irf	-0.734575975930897	0.114242489997888
LMPP	irf	-0.778422873984799	0.106882047092695
mDC	irf	0.074524253410181	0.327628140930578
Mega	irf	-0.225883772573543	0.229623697937857
MEP	irf	-0.820317562996932	0.100189096118386
Mono	irf	0.826887272741976	0.69004959694598
MPP	irf	-1.15038756231905	0.0579880459312994
NK	irf	0.871690688084752	0.717403780612742
pDC	irf	-0.0778269345740844	0.274891460975108
B	lymph	0.013594355643843	0.305766256389664
CD4	lymph	-0.348861233961343	0.196267607648286
CD8	lymph	-0.269116579141984	0.217470037200727
CLP	lymph	-0.453354442508445	0.170790667787727
CMP	lymph	0.284521938539513	0.411162440612027
Ery	lymph	0.579193175876404	0.550939252764695
GMP-A	lymph	-0.303414532521712	0.208159924665276
GMP-B	lymph	-0.479863291369446	0.164729535736911
GMP-C	lymph	-0.44201000734318	0.173433479859911
HSC	lymph	-0.200508030439589	0.236977766375186
LMPP	lymph	-0.196987384221359	0.238011082989976
mDC	lymph	-0.245346577561436	0.224094088331208
Mega	lymph	0.631470483356562	0.57861579050213
MEP	lymph	0.617650668058709	0.571212927693361
Mono	lymph	-0.133807301082827	0.257100146923331
MPP	lymph	0.200120749893491	0.376034639120654
NK	lymph	0.0869066192855826	0.332198939456601
pDC	lymph	-0.279288303005508	0.214678559819203
B	mch	-6.90490244408188e-05	0.301006069671803
CD4	mch	2.29616514701617	1.96524242682366
CD8	mch	0.986585766546364	0.790691792718297
CLP	mch	-1.26141097126264	0.0474886605373547
CMP	mch	-0.753704656885581	0.110986031620398
Ery	mch	1.56949742225318	1.23458449868671
GMP-A	mch	1.11360316943286	0.877048139436434
GMP-B	mch	0.636226455857822	0.581177841290734
GMP-C	mch	-0.115383369306872	0.26286354093229
HSC	mch	-0.372075580337697	0.19038527055782
LMPP	mch	0.00817569228015143	0.303872259757097
mDC	mch	-0.432356570360971	0.175705650082944
Mega	mch	-0.387931933016345	0.186441162329045
MEP	mch	-1.2971071661716	0.0444551902794625
Mono	mch	0.642685077984503	0.584668952868775
MPP	mch	-0.391073473336282	0.185666795278404
NK	mch	-0.18383285234	0.241900173415521
pDC	mch	-0.383231079157103	0.18760424184219
B	mchc	NA	NA
CD4	mchc	NA	NA
CD8	mchc	NA	NA
CLP	mchc	NA	NA
CMP	mchc	NA	NA
Ery	mchc	NA	NA
GMP-A	mchc	NA	NA
GMP-B	mchc	NA	NA
GMP-C	mchc	NA	NA
HSC	mchc	NA	NA
LMPP	mchc	NA	NA
mDC	mchc	NA	NA
Mega	mchc	NA	NA
MEP	mchc	NA	NA
Mono	mchc	NA	NA
MPP	mchc	NA	NA
NK	mchc	NA	NA
pDC	mchc	NA	NA
B	mcv	0.255179616121612	0.398709187611795
CD4	mcv	1.855095409271	1.49769169047379
CD8	mcv	1.24845118175829	0.974968983390559
CLP	mcv	-1.29426201541522	0.0446911437917636
CMP	mcv	-0.815780126205175	0.100898237252119
Ery	mcv	1.61865942766933	1.27769290431274
GMP-A	mcv	0.170701121814794	0.364285705680626
GMP-B	mcv	0.0614467861400017	0.322847929345607
GMP-C	mcv	-0.522592351937598	0.15529236883018
HSC	mcv	-0.125022653179739	0.259836980410128
LMPP	mcv	-0.0929069770457881	0.270016601023148
mDC	mcv	-0.880347510951699	0.0911588668086519
Mega	mcv	-0.205427266939	0.235539284421697
MEP	mcv	-1.51147878676214	0.0293432088727177
Mono	mcv	0.0421364531302258	0.315877604047603
MPP	mcv	-0.130382747976807	0.258164636305644
NK	mcv	0.367084970104343	0.447602153679361
pDC	mcv	-0.406056122742216	0.182005625941918
B	mono	0.233146070447329	0.389527229943793
CD4	mono	-0.508484255502135	0.15836332598331
CD8	mono	-0.623358010032101	0.134614472470602
CLP	mono	-0.0174329483115143	0.29503111359194
CMP	mono	0.592830558521942	0.558073599664104
Ery	mono	-0.492952983712046	0.161795215501917
GMP-A	mono	-0.275034586528119	0.215842799093831
GMP-B	mono	-0.321218040141354	0.203441332863264
GMP-C	mono	-0.0554778439561898	0.282228747673649
HSC	mono	0.810511007391193	0.68022110650731
LMPP	mono	0.927366657609219	0.752350494397781
mDC	mono	0.0638729162479933	0.323731101205777
Mega	mono	-0.61484181267205	0.136278483814336
MEP	mono	-0.285162073847108	0.21307829088675
Mono	mono	-0.411808083659105	0.180614050009764
MPP	mono	1.14653764814793	0.900366383167228
NK	mono	-0.69855419791894	0.12056882659696
pDC	mono	-0.244468860085416	0.224341398743344
B	mpv	-0.791370316323655	0.104778603883297
CD4	mpv	-0.512946543901945	0.157387239328622
CD8	mpv	-0.454613132574332	0.170499258231436
CLP	mpv	-0.561094527203485	0.147133795979804
CMP	mpv	1.44340209295225	1.1281141965809
Ery	mpv	0.138415734396165	0.351682999741368
GMP-A	mpv	0.331079836955182	0.431455564235161
GMP-B	mpv	-0.338134461119096	0.199029380883574
GMP-C	mpv	-0.293279770829244	0.210880729206362
HSC	mpv	-0.765669071465014	0.108985022973299
LMPP	mpv	-1.15327872510549	0.0576932550026511
mDC	mpv	-0.820210230950007	0.100205826947025
Mega	mpv	0.926353062052049	0.751704777484284
MEP	mpv	1.46727072229667	1.14781769504703
Mono	mpv	-0.158606539876709	0.249483457748017
MPP	mpv	-0.413910020059865	0.180107454543702
NK	mpv	-0.316016567784668	0.204811907018828
pDC	mpv	-0.391733899377329	0.185504301089961
B	mrv	-0.106000676559831	0.265833204011624
CD4	mrv	1.42058996067382	1.10947838755085
CD8	mrv	1.61351702033083	1.27314151004026
CLP	mrv	-0.680396927292393	0.123855269710184
CMP	mrv	-0.65902080679096	0.127809453632022
Ery	mrv	-0.193258318148767	0.239109043524532
GMP-A	mrv	-0.958644045457572	0.0803305438164127
GMP-B	mrv	-0.505990255045823	0.158910793201309
GMP-C	mrv	-0.760128843348579	0.109908200895795
HSC	mrv	0.730488734178967	0.633491596244448
LMPP	mrv	-0.134284330375611	0.256952112135234
mDC	mrv	-0.40714954426832	0.181740498318572
Mega	mrv	-0.770903703785944	0.108118145584364
MEP	mrv	-1.08388371937717	0.0651018684641902
Mono	mrv	-0.318725342233777	0.20409732898453
MPP	mrv	0.862525297567602	0.71175243122412
NK	mrv	0.815475779716865	0.683191223935031
pDC	mrv	0.213204113205517	0.381341306470779
B	mscv	-0.0456962379623113	0.285482629662602
CD4	mscv	1.97791125861304	1.62034357427766
CD8	mscv	1.81307949267245	1.45705287796436
CLP	mscv	0.120296913250369	0.344742463180036
CMP	mscv	-0.810612579930902	0.101710480204021
Ery	mscv	-0.23648777786585	0.226599104041122
GMP-A	mscv	-0.433346278168734	0.175471709671444
GMP-B	mscv	-0.810076729438686	0.101794988466056
GMP-C	mscv	0.00106068710128958	0.301397697176815
HSC	mscv	-0.217018049890935	0.232174381433273
LMPP	mscv	-1.23545660385579	0.0497959952565888
mDC	mscv	-0.171062507310713	0.245718425418369
Mega	mscv	-0.441069799281996	0.173653837193355
MEP	mscv	-0.979750999008661	0.0775883242046631
Mono	mscv	-0.508770166547122	0.15830065291594
MPP	mscv	0.258603510152932	0.400149023993721
NK	mscv	0.454198607581459	0.488326564128901
pDC	mscv	0.220499548951958	0.384322322908271
