Celltype	Trait	zscore	logp
B	baso	-0.606450307770709	0.137932985330648
CD4	baso	-0.551559351428863	0.149124210676393
CD8	baso	-0.645005735017399	0.130452495518438
CLP	baso	-0.445921347906534	0.172518956077173
CMP	baso	7.3598981177172	13.0360926479669
Ery	baso	-0.655350049225169	0.128497819339618
GMP-A	baso	-0.880683331795735	0.0911101610093585
GMP-B	baso	-0.150592542976257	0.251927209766717
GMP-C	baso	-0.3138551829787	0.205383367677847
HSC	baso	-0.730297684472054	0.114980537709861
LMPP	baso	-0.628721708075409	0.133574200289349
mDC	baso	-0.599053012343663	0.139403750041592
Mega	baso	-0.596060429516135	0.140002031670571
MEP	baso	-0.338771413005136	0.198864612572001
Mono	baso	-1.14821423805395	0.0582104229934222
MPP	baso	-0.705101420678794	0.1193999280779
NK	baso	-1.40350719463176	0.0363220932946859
pDC	baso	-0.258723731876545	0.220348831286126
B	eo	-0.749469839445402	0.111700872634133
CD4	eo	-0.854641072572028	0.0949465294144032
CD8	eo	-0.751814710272839	0.111304629839003
CLP	eo	-0.513107863924695	0.157352034696941
CMP	eo	1.43437477327152	1.12071672411941
Ery	eo	-0.350069597593363	0.195958232396292
GMP-A	eo	3.98406397768816	4.47014235782226
GMP-B	eo	2.58317293958895	2.31026399606032
GMP-C	eo	1.75813466631033	1.40491954114145
HSC	eo	0.0499212021776756	0.318674996441199
LMPP	eo	0.802270039614723	0.675309407914009
mDC	eo	-0.394575872666971	0.18480622165352
Mega	eo	-0.460188039082725	0.169212914825667
MEP	eo	0.26985140038529	0.404903768225161
Mono	eo	0.272974453136826	0.406230687326692
MPP	eo	0.464153881899249	0.493131516434215
NK	eo	-0.605935013689863	0.138035064835497
pDC	eo	-0.495985655444059	0.161120865798042
B	hct	-0.480283424315654	0.164634755619725
CD4	hct	-0.842543863526081	0.0967698665596392
CD8	hct	-0.929302814743577	0.0842657804450047
CLP	hct	-0.474342472871547	0.16597870929777
CMP	hct	1.20601768686876	0.943455932772289
Ery	hct	-0.0974483709360174	0.26856045672858
GMP-A	hct	4.11716738687634	4.71719951260247
GMP-B	hct	2.47466185801081	2.17599667282292
GMP-C	hct	1.88771245379331	1.52970299651701
HSC	hct	0.309564089471414	0.421995812113561
LMPP	hct	0.354383639518266	0.441860828030285
