Celltype	Trait	zscore	logp
B	baso	0.0717440952315413	0.326607858968266
CD4	baso	0.332679227009188	0.432164392760212
CD8	baso	0.677542467611071	0.603746731433569
CLP	baso	-0.137895609583883	0.255833379859506
CMP	baso	0.767167416917286	0.654643933002575
Ery	baso	-0.272752573702641	0.216469237630636
GMP-A	baso	-0.559708745488622	0.147421848649405
GMP-B	baso	-0.292920148480117	0.210977739023613
GMP-C	baso	-0.627449235865924	0.133820450876641
HSC	baso	-0.0832593419724041	0.273128319775679
LMPP	baso	-0.0690289413387808	0.277763779849511
mDC	baso	-0.579699186642263	0.14330659514686
Mega	baso	-0.405631469164504	0.182108669337834
MEP	baso	-0.622118364080498	0.134855749964532
Mono	baso	-0.449009288622518	0.171799434227987
MPP	baso	0.0108824991725543	0.304817357058642
NK	baso	1.06695858351557	0.844678330037139
pDC	baso	-0.766978511151789	0.108767684792094
B	eo	-0.759508732354841	0.110011896276566
CD4	eo	-0.716595233480616	0.117368434572952
CD8	eo	-0.630813111814452	0.133170199438341
CLP	eo	-0.254395681601836	0.221555658806488
CMP	eo	1.29578598664845	1.01088576155384
Ery	eo	-0.318276153816161	0.204215701650555
GMP-A	eo	3.18975783450355	3.14754423065441
GMP-B	eo	2.02530960209814	1.66922531187997
GMP-C	eo	1.64970065804764	1.30537648408267
HSC	eo	0.135416718966317	0.350527665968996
LMPP	eo	0.62956238555105	0.577589971705849
mDC	eo	-0.497557671647038	0.160772119349736
Mega	eo	-1.11561802539816	0.0616268171477495
MEP	eo	0.377447728074408	0.452323173606877
Mono	eo	0.263862313145129	0.402367321613375
MPP	eo	0.483993171092614	0.502800235917409
NK	eo	-0.632867991593575	0.132774137742554
pDC	eo	-0.345304622709759	0.197180239109991
B	hct	-0.863824018384402	0.0935799858237309
CD4	hct	-1.15939200086707	0.0570738110449074
CD8	hct	-1.15766043634242	0.0572487324708554
CLP	hct	-0.684164032016235	0.123167995518999
CMP	hct	1.55769251276828	1.22436714173004
Ery	hct	1.70885182396849	1.35912916312764
GMP-A	hct	2.38005470147489	2.06273121582298
GMP-B	hct	1.78434582069765	1.42964687782142
GMP-C	hct	1.58507920077458	1.24815014083946
HSC	hct	-0.045676108603812	0.285489352569042
LMPP	hct	-0.0483940679466211	0.284582591849798
mDC	hct	-0.385709669909928	0.186990341031036
Mega	hct	-0.565691217885276	0.146181281009022
MEP	hct	2.29949174562707	1.96905574032911
Mono	hct	-0.696738738858933	0.120894456721159
MPP	hct	0.257333260498138	0.399614441793534
NK	hct	-0.977671228260352	0.0778552752479598
pDC	hct	-0.590944076436088	0.141029293439963
B	hgb	-0.676512480166872	0.124566944295508
CD4	hgb	0.772253970625952	0.657612832434017
CD8	hgb	0.655017727453835	0.59137312476828
CLP	hgb	-0.799269490786702	0.103510755750813
CMP	hgb	-0.0584732273347033	0.281237516931209
Ery	hgb	1.85183875389688	1.49451777204269
GMP-A	hgb	0.133972089379665	0.34997206746132
GMP-B	hgb	0.130802999601848	0.34875535910844
GMP-C	hgb	0.274380072087767	0.406828861314867
HSC	hgb	-1.67069596791738	0.0210852617367982
LMPP	hgb	-0.826373400602171	0.0992485426586138
mDC	hgb	-0.102830170457012	0.266841975543112
Mega	hgb	-0.448764888516625	0.171856302305643
MEP	hgb	2.04840434521296	1.69335631325649
Mono	hgb	-0.683951003530548	0.123206784531234
MPP	hgb	-1.79406803861983	0.0161037291680976
NK	hgb	0.272058250974671	0.405841108734548
pDC	hgb	-0.147500651736125	0.252874526693207
B	hlr	-0.480119370604957	0.164671760668084
CD4	hlr	-1.36014121509958	0.0394781472832037
CD8	hlr	-1.24546207212895	0.0488961956862238
CLP	hlr	-0.618914324181771	0.135480850616366
CMP	hlr	0.749610228134866	0.644462770382161
Ery	hlr	6.05446598412088	9.15216758224008
GMP-A	hlr	-1.02079547604954	0.0724631760247013
GMP-B	hlr	-0.953006572394301	0.0810754397226472
GMP-C	hlr	-0.796521512899497	0.103950493904903
HSC	hlr	-1.7304531091659	0.0185323558024625
LMPP	hlr	-1.52723540573289	0.0284232386845699
mDC	hlr	-0.592504423886713	0.140715418531182
Mega	hlr	0.310799858532087	0.422535328768597
MEP	hlr	4.67049095966928	5.82321340204496
Mono	hlr	-0.990595883816207	0.0762077453205646
MPP	hlr	-1.82945877511491	0.0148724947330597
NK	hlr	-1.12118639913192	0.061032333980699
pDC	hlr	-0.449228865278203	0.171748353848793
B	irf	-0.892996422121475	0.0893380064419082
CD4	irf	-1.40808881057672	0.0360009241763418
CD8	irf	-1.22962745444428	0.0503262439479826
CLP	irf	-0.606270529936723	0.137968592884604
CMP	irf	0.693195254501411	0.612443762308546
Ery	irf	5.89514540002312	8.72775030466548
GMP-A	irf	-1.44809602658744	0.0332929249590036
GMP-B	irf	-1.59857531200954	0.0245486599267112
GMP-C	irf	-1.22643771172376	0.0506182893962871
HSC	irf	-1.72579835318452	0.0187214710030483
LMPP	irf	-1.97929888162543	0.0105017641904148
mDC	irf	-0.864561161150877	0.0934709423632311
Mega	irf	0.438117821944169	0.480630897794915
MEP	irf	5.4704793595719	7.64895781629043
Mono	irf	-0.950883518232453	0.0813573384607964
MPP	irf	-1.72428061024574	0.0187834817295208
NK	irf	-1.08747651001597	0.0647009316120712
pDC	irf	-0.819914340324947	0.100251961093353
B	lymph	-1.78519954168011	0.0164253433876404
CD4	lymph	-1.99339946280622	0.0101538298429134
CD8	lymph	-1.24827407845199	0.0486456498474002
CLP	lymph	-0.978509733430331	0.0777475629614862
CMP	lymph	1.13304483493453	0.89076675546034
Ery	lymph	1.70948253806294	1.35970939858647
GMP-A	lymph	3.28935424590809	3.29922037068655
GMP-B	lymph	2.09954749482288	1.74752725653237
GMP-C	lymph	1.03518502951107	0.823066290750343
HSC	lymph	0.961207182345283	0.774112037196498
LMPP	lymph	0.421919753809288	0.472960992589913
mDC	lymph	-2.12213245036496	0.00740818311609086
Mega	lymph	-0.575945746829725	0.144072742693522
MEP	lymph	1.55000070376384	1.21773759696797
Mono	lymph	-1.96798556014451	0.0107882416514667
MPP	lymph	1.21552927733657	0.950463567469632
NK	lymph	-0.679383180901598	0.124040706224515
pDC	lymph	-0.375226478190767	0.189596769146339
B	mch	-0.506820354127863	0.158728421566132
CD4	mch	-0.6505513154128	0.129401866341871
CD8	mch	-0.846155644743313	0.096222722125026
CLP	mch	-0.656805999042282	0.128224460332173
CMP	mch	-0.109999962861079	0.264564552066015
Ery	mch	4.2823543792093	5.03403166030909
GMP-A	mch	-0.921522057122293	0.0853337366071169
GMP-B	mch	-1.03342524428945	0.0709401383944167
GMP-C	mch	-0.921979867292436	0.0852706135101297
HSC	mch	-1.47170101496183	0.0317743498599863
LMPP	mch	-1.3122625265311	0.0432150524661157
